Dataset,Model,Fold,Accuracy,Balanced Accuracy,Precision (weighted),Recall (weighted),F1 (weighted),F1 (macro),AUC (OVR),AUPRC,MCC
Fused pseudo sensitivity,XGBoost,9,0.8461538461538461,0.7941391941391941,0.8472222222222222,0.8461538461538461,0.8431475072258816,0.7727673211949941,0.9819585639812605,0.8210086279570921,0.828278457563787
Fused pseudo sensitivity,XGBoost,10,0.8653846153846154,0.7391975308641975,0.8393365893365894,0.8653846153846154,0.8487697611979926,0.7246774996081322,0.9808924834712198,0.8488556196889531,0.8503093612646971
Fused pseudo sensitivity,CatBoost,1,0.8952380952380953,0.819953194953195,0.883015873015873,0.8952380952380953,0.8855227040649035,0.7954030986852811,0.9908163825447345,0.8617169683637937,0.8842063741973657
Fused pseudo sensitivity,CatBoost,2,0.8571428571428571,0.7489010989010989,0.8542857142857143,0.8571428571428571,0.8472678098815722,0.74200138234082,0.9907306118895318,0.8461916157875756,0.8401340418467526
Fused pseudo sensitivity,CatBoost,3,0.8952380952380953,0.8322988739655406,0.9154761904761904,0.8952380952380953,0.8976800976800976,0.8322174738841406,0.9911919326775236,0.8809207965902901,0.883482397194894
Fused pseudo sensitivity,CatBoost,4,0.8557692307692307,0.7506169756169756,0.861195054945055,0.8557692307692307,0.8546258809416704,0.7544246418515423,0.9899140491672741,0.8342410992695671,0.838350808651123
Fused pseudo sensitivity,CatBoost,5,0.8269230769230769,0.7257326007326008,0.8287907925407925,0.8269230769230769,0.8236856971585478,0.7044774034970113,0.9788690472412098,0.7974666813961591,0.8073583625993843
Fused pseudo sensitivity,CatBoost,6,0.8761904761904762,0.7503968253968254,0.8829556650246304,0.8761904761904762,0.8694895119132182,0.777892592443676,0.9878644291145368,0.8365163005282369,0.8612846872272425
Fused pseudo sensitivity,CatBoost,7,0.9038461538461539,0.8446645946645945,0.9032763532763534,0.9038461538461539,0.8965272672819842,0.8403939061171766,0.9913331591137982,0.8739454989454989,0.8929688268208631
Fused pseudo sensitivity,CatBoost,8,0.8076923076923077,0.7134513634513635,0.8354166666666666,0.8076923076923077,0.8099960497019321,0.7121908592496828,0.9831980440036726,0.8336383546939419,0.7860773776781425
Fused pseudo sensitivity,CatBoost,9,0.8365384615384616,0.7802503052503051,0.8409722222222223,0.8365384615384616,0.8343334046617792,0.7584375151985214,0.9872556024695319,0.826913187131298,0.8172382391682597
Fused pseudo sensitivity,CatBoost,10,0.8653846153846154,0.7391975308641975,0.8349829568579568,0.8653846153846154,0.8481478137010451,0.7157930198903192,0.9821798831962608,0.8213252869998902,0.8497501679548276
Fused pseudo sensitivity,Top-3 F1-weighted Soft Voting Ensemble,1,0.8952380952380953,0.8022486772486772,0.912063492063492,0.8952380952380953,0.8985225885225885,0.8105413105413105,0.9938835847577937,,
Fused pseudo sensitivity,Top-3 F1-weighted Soft Voting Ensemble,2,0.8761904761904762,0.7753561253561254,0.866005291005291,0.8761904761904762,0.8677285924852122,0.7697096308824019,0.98978038252827,,
Fused pseudo sensitivity,Top-3 F1-weighted Soft Voting Ensemble,3,0.8857142857142857,0.819732736399403,0.89515873015873,0.8857142857142857,0.88187815297059,0.8034610995395309,0.9924752502988843,,
Fused pseudo sensitivity,Top-3 F1-weighted Soft Voting Ensemble,4,0.8557692307692307,0.7688505938505937,0.8552350427350427,0.8557692307692307,0.8516898196143479,0.7658106975717037,0.9932414216568145,,
Fused pseudo sensitivity,Top-3 F1-weighted Soft Voting Ensemble,5,0.8653846153846154,0.7458791208791209,0.8543981481481482,0.8653846153846154,0.8574842590082068,0.7269767677000382,0.9893160629676836,,
Fused pseudo sensitivity,Top-3 F1-weighted Soft Voting Ensemble,6,0.8761904761904762,0.7457671957671957,0.8686699507389162,0.8761904761904762,0.8623240474368293,0.7552924982749544,0.9878209100909052,,
Fused pseudo sensitivity,Top-3 F1-weighted Soft Voting Ensemble,7,0.9038461538461539,0.8398569023569022,0.9066849816849817,0.9038461538461539,0.8964386752848292,0.8416233971789527,0.9932193527546601,,
Fused pseudo sensitivity,Top-3 F1-weighted Soft Voting Ensemble,8,0.8269230769230769,0.7265466015466016,0.8506410256410256,0.8269230769230769,0.8289612097304405,0.7282288698955366,0.9877206819038472,,
Fused pseudo sensitivity,Top-3 F1-weighted Soft Voting Ensemble,9,0.8461538461538461,0.7881868131868132,0.8521901709401709,0.8461538461538461,0.8446884342475779,0.76698452374553,0.9908607085558278,,
Fused pseudo sensitivity,Top-3 F1-weighted Soft Voting Ensemble,10,0.875,0.7530864197530864,0.8458803927553927,0.875,0.8581905487437802,0.7358547482853809,0.9875399538618402,,
